Employee_ID,Question_ID,Selected_Value,Value_Order
2385,101,Accountability,1
2385,101,Achievement,2
2385,101,Commitment,3
2385,101,Cost Reduction,4
2385,101,Efficiency,5
2385,101,Ethics,6
2385,101,Excellence,7
2385,101,Integrity,8
2385,101,Making A Difference,9
2385,101,Transparency,10
2385,102,Bullying,1
2385,102,Bureaucracy,2
2385,102,Global Thinking,3
2385,102,Blame,4
2385,102,Continuous Learning,5
2385,102,Customer Satisfaction,6
2385,102,Leadership Development,7
2385,102,Organisational Growth,8
2385,102,Profit,9
2385,102,Vision,10
2385,103,Compassion,1
2385,103,Financial Stability,2
2385,103,Customer Satisfaction,3
2385,103,Global Thinking,4
2385,103,Hierarchy,5
2385,103,Job Security,6
2385,103,Transparency,7
2385,103,Information Sharing,8
2385,103,Fairness,9
2385,103,Cost Reduction,10
2814,101,Accountability,1
2814,101,Achievement,2
2814,101,Ambition,3
2814,101,Balance (Home/Work),4
2814,101,Brand Image,5
2814,101,Commitment,6
2814,101,Cost Reduction,7
2814,101,Ethics,8
2814,101,Mission Focus,9
2814,101,Team Work,10
2814,102,Customer Satisfaction,1
2814,102,Safety,2
2814,102,Trust,3
2814,102,Quality,4
2814,102,Leadership Development,5
2814,102,Digital Connectivity,6
2814,102,Continuous Improvement,7
2814,102,Cost Reduction,8
2814,102,Achievement,9
2814,102,Organisational Growth,10
2814,103,Achievement,1
2814,103,Risk-Taking,2
2814,103,Financial Stability,3
2814,103,Excellence,4
2814,103,Ethics,5
2814,103,Digital Connectivity,6
2814,103,Ambition,7
2814,103,Cost Reduction,8
2814,103,Continuous Improvement,9
2814,103,Employee Engagement,10
2185,101,Accountability,1
2185,101,Adaptability,2
2185,101,Ethics,3
2185,101,Excellence,4
2185,101,Efficiency,5
2185,101,Continuous Learning,6
2185,101,Commitment,7
2185,101,Cost Reduction,8
2185,101,Innovation,9
2185,101,Integrity,10
2185,102,Brand Image,1
2185,102,Achievement,2
2185,102,Cost Reduction,3
2185,102,Empowerment,4
2185,102,Excellence,5
2185,102,Global Thinking,6
2185,102,Long Hours,7
2185,102,Power,8
2185,102,Quality,9
2185,102,Perseverance,10
2185,103,Balance (Home/Work),1
2185,103,Coaching/ Mentoring,2
2185,103,Equality,3
2185,103,Compassion,4
2185,103,Financial Stability,5
2185,103,Job Security,6
2185,103,Long-Term Perspective,7
2185,103,Innovation,8
2185,103,Open Communication,9
2185,103,Trust,10
1515,101,Accountability,1
1515,101,Balance (Home/Work),2
1515,101,Achievement,3
1515,101,Brand Image,4
1515,101,Coaching/ Mentoring,5
1515,101,Continuous Improvement,6
1515,101,Conflict Resolution,7
1515,101,Efficiency,8
1515,101,Ethics,9
1515,101,Global Thinking,10
1515,102,Accountability,1
1515,102,Achievement,2
1515,102,Coaching/ Mentoring,3
1515,102,Continuous Improvement,4
